ID,age,gender,Machiavellianism,Narcissism,Psychopathy,Extraversion,Agreeableness,Conscientiousness,EmotionStability
527,20,Female,30,27,27,33,33,35,29
549,28,Male,30,20,28,31,35,34,32
552,19,Male,38,36,29,33,40,40,24
554,20,Female,33,21,19,19,31,39,13
557,21,Female,25,29,14,30,46,42,21
567,28,Female,39,35,21,36,32,39,20
580,22,Female,30,28,14,19,33,39,29
586,14,Female,36,37,26,40,45,37,18
594,23,Female,34,29,26,22,26,32,36
599,23,Female,40,19,18,15,35,29,21
603,18,Male,22,27,17,31,45,37,38
604,20,Female,29,26,20,29,32,34,21
611,20,Female,29,23,24,27,36,32,24
619,28,Female,30,26,29,33,37,37,36
648,25,Female,37,23,26,26,36,33,26
652,33,Female,36,21,25,22,46,40,15
657,21,Male,25,23,21,36,28,33,34
658,19,Female,38,24,29,18,27,26,23
659,30,Female,39,31,25,36,38,36,29
661,27,Female,29,17,19,24,38,37,35
663,19,Female,31,26,27,32,26,32,25
684,15,Female,37,26,29,16,36,34,24
686,16,Female,30,26,21,21,40,38,28
689,18,Female,36,32,22,28,28,31,29
709,27,Female,34,17,17,17,40,35,23
712,28,Female,22,18,17,20,44,46,27
724,18,Female,43,41,36,25,32,31,28
733,19,Female,34,25,19,41,41,37,44
741,20,Female,25,21,24,13,44,30,11
755,21,Female,33,28,26,15,33,24,25
761,16,Female,39,22,22,21,31,26,28
769,23,Female,33,23,15,29,44,44,17
772,21,Female,20,12,11,15,41,40,20
774,21,Female,38,33,28,24,31,33,32
776,26,Female,33,22,19,25,28,29,33
782,19,Male,36,22,29,21,38,36,22
785,18,Female,30,24,24,42,46,37,17
794,25,Female,41,30,34,13,27,26,15
795,15,Female,32,21,21,20,35,34,17
800,17,Female,39,23,20,19,21,32,22
802,17,Male,31,33,32,37,37,31,26
825,21,Male,39,31,32,33,35,31,16
827,23,Female,32,30,23,28,25,25,35
839,15,Female,45,21,18,16,27,40,46
846,19,Female,30,27,21,22,35,30,25
861,25,Female,29,20,19,19,36,32,24
862,22,Female,26,29,24,28,35,36,21
863,25,Female,32,28,24,35,41,37,33
866,16,Female,21,26,12,40,45,40,38
868,26,Female,45,33,24,23,39,39,33
870,32,Female,24,25,17,32,36,35,30
872,18,Female,27,23,24,21,33,34,24
875,21,Female,28,17,24,11,27,19,30
879,18,Female,45,38,26,47,26,33,41
880,11,Female,41,31,30,26,26,24,36
889,19,Female,30,21,11,18,33,32,24
896,23,Female,26,18,17,23,34,36,23
899,28,Female,25,25,15,38,49,36,46
906,19,Male,28,25,17,18,41,33,21
918,13,Female,36,17,21,16,41,36,21
932,24,Female,29,30,18,22,43,39,31
937,28,Female,35,28,21,38,40,25,37
941,25,Male,43,41,18,38,32,34,42
946,21,Female,30,22,24,16,31,26,24
959,21,Female,32,25,17,30,38,31,27
971,26,Female,29,12,10,10,29,44,47
